Wall time,Step,Value
1743045856.984729,139600,445.75
1743045859.959339,141600,450.7300109863281
1743045860.5467556,142000,449.70001220703125
1743045863.371015,144400,444.760009765625
1743045864.8706257,145600,440.0199890136719
1743045866.8187284,147200,442.9700012207031
1743045869.2641947,148800,449.1600036621094
1743045870.2562518,149600,445.6000061035156
1743045883.0274003,151200,434.1700134277344
1743045883.7418096,151600,431.8999938964844
1743045884.3607733,152000,432.9200134277344
1743045885.3555543,152800,440.25
1743045888.1118207,154800,458.4100036621094
1743045888.9091594,155200,462.07000732421875
1743045891.9858131,156800,469.0400085449219
1743045892.594083,157200,467.239990234375
1743045893.1271555,157600,471.95001220703125
1743045907.870159,163600,478.5299987792969
1743045911.8162148,166400,481.1300048828125
1743045912.2939541,166800,482.0899963378906
1743045914.739623,168800,477.0799865722656
1743045915.4196963,169200,474.79998779296875
1743045916.3509684,170000,468.3500061035156
1743045917.4182222,170800,466.9100036621094
1743045919.4521255,172400,469.0799865722656
1743045932.2831287,176000,467.4700012207031
1743045933.206381,176800,465.95001220703125
1743045933.6428444,177200,464.3299865722656
1743045934.9177783,178400,464.95001220703125
1743045937.6860735,180800,471.70001220703125
1743045941.4547606,184000,472.2200012207031
1743045941.931613,184400,474.6199951171875
1743045943.3655627,185600,483.010009765625
1743045943.8168793,186000,483.70001220703125
1743045945.1315093,187200,487.510009765625
1743045945.5649624,187600,487.5400085449219
1743045957.3033557,189600,490.2099914550781
1743045957.781784,190000,490.8399963378906
1743045963.2099793,194400,489.3399963378906
1743045964.7334714,195600,483.4200134277344
1743045965.1938932,196000,484.3599853515625
1743045966.1448023,196800,478.6400146484375
1743045967.0439515,197600,478.55999755859375
1743045968.4496007,198800,478.44000244140625
1743045983.6673741,203200,473.6300048828125
1743045985.788659,205200,474.4100036621094
1743045986.6274724,206000,474.42999267578125
1743045988.037947,207200,479.8500061035156
1743045989.174316,208000,481.9599914550781
1743045991.8914237,210000,488.1600036621094
1743045992.5797658,210400,486.6099853515625
1743045995.5276387,212800,487.04998779296875
1743046004.9330635,213600,486.010009765625
1743046005.5597367,214000,482.94000244140625
1743046006.4456246,214800,484.8299865722656
1743046006.8571246,215200,487.1400146484375
1743046007.2746494,215600,488.2200012207031
1743046008.1039333,216400,485.0
1743046008.944734,217200,482.510009765625
1743046011.4940493,219200,481.42999267578125
1743046011.9095752,219600,483.32000732421875
1743046012.4705577,220000,481.8900146484375
1743046013.3298078,220800,490.0199890136719
1743046015.9902835,223200,493.0400085449219
1743046016.8682058,224000,494.510009765625
1743046018.6410096,225600,491.0299987792969
1743046029.4314935,226000,490.510009765625
1743046030.0183902,226400,491.6300048828125
1743046032.2905571,228000,493.6700134277344
1743046034.1208656,229600,492.739990234375
1743046034.5737338,230000,492.6499938964844
1743046035.8438356,231200,491.92999267578125
1743046036.8165574,232000,488.6600036621094
1743046037.2483313,232400,487.69000244140625
1743046037.8640509,232800,490.0799865722656
1743046038.3183389,233200,490.2799987792969
1743046038.7515445,233600,491.07000732421875
1743046039.186389,234000,493.3999938964844
1743046040.147348,234800,493.8800048828125
1743046040.5987473,235200,494.1400146484375
1743046043.7892175,237200,496.1499938964844
1743046044.5586767,237600,494.4200134277344
1743046056.5697997,239200,491.67999267578125
1743046057.982273,240400,495.20001220703125
1743046058.8739219,241200,494.82000732421875
1743046062.0001664,243600,491.8999938964844
1743046062.8463566,244400,491.04998779296875
1743046065.2099128,246400,492.20001220703125
1743046067.095167,248000,489.82000732421875
1743046067.5701134,248400,489.2099914550781
1743046068.7783866,249200,489.9700012207031
1743046070.4383368,250400,486.0899963378906
1743046083.9271262,254000,482.6000061035156
1743046087.1313457,256800,492.7200012207031
1743046087.623271,257200,491.0
1743046088.6928174,258000,494.0899963378906
1743046089.252817,258400,495.1400146484375
1743046089.7643497,258800,496.5
1743046090.2097595,259200,497.0
1743046091.1511264,260000,500.57000732421875
1743046092.6136918,261200,501.82000732421875
1743046094.6329415,262800,511.9100036621094
1743046095.0804253,263200,512.739990234375
1743046106.1660128,264800,507.1600036621094
1743046107.6747587,266000,508.7099914550781
1743046109.4129565,267600,500.9200134277344
1743046110.7003841,268800,498.1099853515625
1743046111.1438158,269200,499.760009765625
1743046111.5704682,269600,498.4700012207031
1743046111.9967062,270000,497.3399963378906
1743046112.4254806,270400,496.82000732421875
1743046113.286969,271200,496.82000732421875
1743046113.7113285,271600,496.3999938964844
1743046114.151947,272000,497.57000732421875
1743046115.1095462,272800,500.32000732421875
1743046115.6284602,273200,500.25
1743046116.098056,273600,499.20001220703125
1743046116.614143,274000,502.82000732421875
1743046117.57194,274800,506.6300048828125
1743046118.8435967,275600,504.8800048828125
1743046129.368176,276000,506.6199951171875
1743046133.9932,278800,513.9000244140625
1743046135.3191628,280000,517.1699829101562
1743046136.20221,280800,519.52001953125
1743046137.1146045,281600,522.1099853515625
1743046138.527785,282800,517.8300170898438
1743046139.6918209,283600,519.22998046875
1743046140.811094,284400,521.3599853515625
1743046143.3402755,286000,517.8900146484375
1743046145.403975,287600,523.4299926757812
1743046154.6480129,288800,518.72998046875
1743046155.0744152,289200,515.47998046875
1743046155.544325,289600,516.1400146484375
1743046155.9956217,290000,515.1300048828125
1743046158.9585161,292400,518.030029296875
1743046162.764649,294800,515.1300048828125
1743046163.8112879,295600,517.27001953125
1743046164.4827046,296000,520.5599975585938
1743046165.118026,296400,520.9400024414062
1743046166.9815598,297600,521.0399780273438
1743046168.4896994,298800,524.3099975585938
1743046169.0463352,299200,528.0399780273438
1743046170.7180307,300400,525.1699829101562
1743046171.238394,300800,525.3800048828125
1743046180.115691,301200,526.9500122070312
1743046181.519428,302000,522.8699951171875
1743046182.8052685,302800,521.6199951171875
1743046186.471194,305200,521.4000244140625
1743046187.904422,306400,521.010009765625
1743046188.4385521,306800,522.530029296875
1743046189.8066082,308000,519.6400146484375
1743046190.2894897,308400,519.9600219726562
1743046190.9464245,308800,519.030029296875
1743046192.0066211,309600,517.7100219726562
1743046192.5635955,310000,519.6599731445312
1743046196.2971618,312400,526.2100219726562
1743046205.6643252,314000,526.22998046875
1743046206.213407,314400,523.52001953125
1743046207.547773,315200,523.510009765625
1743046208.5216565,316000,523.1099853515625
1743046209.4298944,316800,521.0900268554688
1743046209.8613765,317200,523.72998046875
1743046210.2808447,317600,523.1900024414062
1743046210.743596,318000,521.9099731445312
1743046211.2787037,318400,521.3699951171875
1743046212.8786364,319600,521.72998046875
1743046213.9285808,320400,520.8300170898438
1743046214.9488256,321200,520.4199829101562
1743046216.4289684,322400,518.280029296875
1743046217.4224355,323200,517.6900024414062
1743046217.8970778,323600,518.0
1743046218.5778077,324000,515.72998046875
1743046220.855827,325600,518.0700073242188
1743046229.766857,326400,519.489990234375
1743046230.1890564,326800,519.9500122070312
1743046231.575747,327600,519.1500244140625
1743046233.2356079,328800,522.52001953125
1743046235.6519637,330400,524.77001953125
1743046237.2877507,331600,527.780029296875
1743046239.1827395,332800,525.6400146484375
1743046239.8276012,333200,527.719970703125
1743046241.0002372,334000,529.6900024414062
1743046241.9522266,334800,528.9400024414062
1743046243.0824196,335600,530.9099731445312
1743046245.8698142,337600,529.8200073242188
1743046256.020282,338800,528.75
1743046257.4879093,339600,522.27001953125
1743046259.3868716,340800,520.02001953125
1743046263.5321946,344000,520.02001953125
1743046265.4175382,345600,519.3699951171875
1743046267.3710256,347200,520.5800170898438
1743046268.4260802,348000,521.1599731445312
1743046268.94248,348400,521.0
1743046270.8796446,350000,525.1900024414062
1743046271.767863,350800,529.260009765625
1743046272.3129845,351200,530.4000244140625
1743046282.5974982,352400,529.0700073242188
1743046283.6262827,353200,531.969970703125
1743046284.7519205,354000,527.3400268554688
1743046286.312278,355200,527.1900024414062
1743046287.7682822,356000,526.6900024414062
1743046288.3651447,356400,524.8099975585938
1743046289.6592097,357200,525.8599853515625
1743046292.1730757,358800,524.1199951171875
1743046294.1503081,360400,518.9500122070312
1743046297.5215292,363200,514.7999877929688
1743046298.1158543,363600,514.4400024414062
1743046306.6256478,364000,518.1599731445312
1743046307.0324883,364400,518.2100219726562
1743046307.8570502,365200,517.2000122070312
1743046308.2793689,365600,517.1599731445312
1743046309.1720605,366400,517.6900024414062
1743046309.59364,366800,515.6400146484375
1743046310.022964,367200,515.1699829101562
1743046311.353685,368400,517.3200073242188
1743046311.7838798,368800,518.6699829101562
1743046312.2185512,369200,518.8200073242188
1743046312.6523182,369600,520.510009765625
1743046313.5243032,370400,520.1799926757812
1743046316.1778648,372800,520.72998046875
1743046316.6204252,373200,520.489990234375
1743046317.9675312,374400,520.6500244140625
1743046330.131603,377200,520.4500122070312
1743046331.4597552,378400,518.9099731445312
1743046334.4341512,381200,518.3099975585938
1743046334.8702617,381600,519.27001953125
1743046335.331742,382000,522.4099731445312
1743046336.2404222,382800,522.2899780273438
1743046336.7102716,383200,522.52001953125
1743046337.423173,383600,522.8099975585938
1743046338.9356139,384800,521.3300170898438
1743046339.3764377,385200,520.2100219726562
1743046340.264517,386000,522.6799926757812
1743046341.1440294,386800,524.3599853515625
1743046341.5799644,387200,525.7999877929688
1743046343.3943102,388800,529.9600219726562
1743046352.952987,389200,529.3800048828125
1743046354.9949625,390800,527.4500122070312
1743046355.5396605,391200,526.0999755859375
1743046355.967358,391600,527.010009765625
1743046356.4077675,392000,523.0700073242188
1743046357.6926398,393200,523.719970703125
1743046358.4535685,393600,521.52001953125
1743046358.9122818,394000,523.2899780273438
1743046360.2935505,395200,525.0599975585938
1743046360.7514038,395600,522.760009765625
1743046364.928691,398800,522.239990234375
1743046367.2932022,400400,529.2999877929688
1743046368.3473895,401200,530.02001953125
1743046377.421739,402000,530.27001953125
1743046377.888174,402400,527.8400268554688
1743046379.7165058,403600,528.9299926757812
1743046380.218272,404000,529.4199829101562
1743046381.327349,404800,529.6900024414062
1743046381.959741,405200,528.4099731445312
1743046382.5787027,405600,529.25
1743046383.072712,406000,529.5999755859375
1743046384.5717204,407200,530.75
1743046389.0622463,410400,523.0499877929688
1743046390.0641127,411200,521.6400146484375
1743046390.9667943,412000,524.0999755859375
1743046391.850923,412800,524.6099853515625
1743046392.449141,413200,526.1599731445312
1743046401.821335,414400,523.0
1743046402.654612,415200,524.9099731445312
1743046403.0708177,415600,526.8099975585938
1743046403.4967015,416000,527.8499755859375
1743046406.2262003,418000,528.6699829101562
1743046410.3965564,420800,530.47998046875
1743046411.0707173,421200,531.4199829101562
1743046412.417967,422400,530.1199951171875
1743046413.3028936,423200,531.0700073242188
1743046415.9440768,425600,528.9400024414062
1743046416.4204109,426000,528.1199951171875
1743046426.3447897,426800,530.8699951171875
1743046427.3613868,427600,528.5700073242188
1743046429.1633685,429200,526.6300048828125
1743046430.952879,430800,524.4199829101562
1743046431.8634973,431600,521.4500122070312
1743046434.5831983,433600,521.1799926757812
1743046435.1230123,434000,521.6900024414062
1743046435.664364,434400,521.1900024414062
1743046438.8503761,437200,522.5499877929688
1743046439.3311663,437600,522.7999877929688
1743046453.2838824,440000,518.8400268554688
1743046456.3723164,441600,522.2100219726562
1743046456.9884143,442000,522.010009765625
1743046457.537207,442400,522.1400146484375
1743046462.1508076,446000,519.5900268554688
1743046463.0885606,446800,521.780029296875
1743046464.7684321,448000,520.6699829101562
1743046466.9652958,449600,522.9000244140625
1743046468.2314978,450400,523.5999755859375
1743046468.8913617,450800,523.7999877929688
1743046479.571562,452400,523.2899780273438
1743046480.060215,452800,520.5800170898438
1743046480.9239297,453600,524.760009765625
1743046481.5914426,454000,525.3900146484375
1743046482.1879575,454400,523.9500122070312
1743046483.8327482,455600,524.5800170898438
1743046484.4285877,456000,526.22998046875
1743046490.7022352,460000,526.1799926757812
1743046491.9195392,460800,528.75
1743046492.6369762,461200,527.219970703125
1743046494.4563081,462400,525.969970703125
1743046494.962174,462800,526.469970703125
1743046495.4980602,463200,527.4000244140625
1743046505.7606945,464400,525.3599853515625
1743046506.317583,464800,524.4400024414062
1743046506.9969683,465200,520.9299926757812
1743046514.3386762,471200,521.3699951171875
1743046515.63845,472400,524.6500244140625
1743046516.5861216,473200,525.1099853515625
1743046517.130551,473600,524.2000122070312
1743046518.188181,474400,524.010009765625
1743046518.6263592,474800,525.4500122070312
1743046519.9515545,476000,525.75
1743046530.6729233,477200,527.5800170898438
1743046531.3452847,477600,528.8499755859375
1743046531.814331,478000,527.3499755859375
1743046532.5606072,478400,529.3800048828125
1743046533.993763,479200,526.9299926757812
1743046534.936787,480000,526.9600219726562
1743046535.9435663,480800,528.239990234375
1743046537.0536633,481600,527.77001953125
1743046537.488083,482000,528.4600219726562
1743046538.72797,482800,526.8599853515625
1743046539.8733602,483600,526.3099975585938
1743046540.9822166,484400,526.8800048828125
1743046541.6011713,484800,527.239990234375
1743046542.224299,485200,525.5399780273438
1743046542.852077,485600,523.1300048828125
1743046543.3635683,486000,523.489990234375
1743046555.6346111,490000,527.5999755859375
1743046557.3559375,491600,524.6900024414062
1743046559.0470495,493200,524.1500244140625
1743046559.471238,493600,523.7999877929688
1743046559.8936245,494000,524.0499877929688
1743046560.7503276,494800,523.969970703125
1743046562.1596124,496000,527.010009765625
1743046563.4899225,497200,526.5700073242188
1743046564.371964,498000,526.7899780273438
1743046565.7171323,499200,525.0800170898438
1743046566.6124833,500000,524.27001953125
1743046568.4172685,501600,525.2999877929688
1743046578.1830184,502400,524.9500122070312
1743046579.0987678,503200,522.8300170898438
1743046579.5274427,503600,521.6599731445312
1743046581.0822213,504800,520.6500244140625
1743046581.5168338,505200,520.7100219726562
1743046581.9356892,505600,520.2899780273438
1743046582.359506,506000,519.030029296875
1743046583.205736,506800,516.9099731445312
1743046585.5100982,508800,524.8699951171875
1743046587.0507264,510000,520.3200073242188
1743046589.4886093,512000,522.2999877929688
1743046590.4422112,512800,526.1500244140625
1743046601.0698888,514400,530.969970703125
1743046601.9236414,515200,526.9400024414062
1743046604.146763,516800,529.0
1743046604.563943,517200,526.4099731445312
1743046604.9811785,517600,524.4099731445312
1743046605.3992763,518000,524.22998046875
1743046606.246321,518800,520.27001953125
1743046607.5176036,520000,524.9400024414062
1743046607.9445834,520400,522.6799926757812
1743046608.8532264,521200,521.3900146484375
1743046609.2861054,521600,522.1500244140625
1743046612.3555908,524400,517.3300170898438
1743046613.2317414,525200,521.8300170898438
1743046614.6247864,526400,522.1599731445312
1743046615.0637105,526800,524.4500122070312
1743046625.844563,528000,521.97998046875
1743046626.3411827,528400,522.5499877929688
1743046628.6304452,530400,527.4600219726562
1743046629.1277275,530800,526.8599853515625
1743046629.6185951,531200,528.25
1743046631.0029712,532400,529.510009765625
1743046632.0167608,533200,526.47998046875
1743046632.56729,533600,525.1400146484375
